Network,Annotation
MyList,R-HSA-1474244|Extracellular matrix organization|-10.6;R-HSA-8874081|MET activates PTK2 signaling|-10.3;R-HSA-1474228|Degradation of the extracellular matrix|-10.0
MyList_MCODE_ALL,R-HSA-8948216|Collagen chain trimerization|-8.5;M3005|NABA COLLAGENS|-8.5;M198|PID SYNDECAN 1 PATHWAY|-8.5
MyList_SUB1_MCODE_1,M3005|NABA COLLAGENS|-8.5;R-HSA-8948216|Collagen chain trimerization|-8.5;M198|PID SYNDECAN 1 PATHWAY|-8.5
